,playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,cap hit
1002,8482067,2022,Connor Mackey,CGY,D,5on5,10,5984.0,161.0,2.7,0.41,0.52,0.55,0.56,0.51,0.57,56.0,10.14,0.49,0.57,2.89,0.35,6.25,4.45,0.48,0.47,0.47,0.0,1.0,8.0,7.0,5.0,20.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,7.0,6.0,13.0,3.0,9.0,0.0,11.0,2.0,5.0,13.0,2.0,0.0,0.28,0.2,0.0,0.0,2.0,0.0,19.36,15.0,14.63,5.0,0.11,0.0,0.0,0.6,0.58,0.57,161.0,14.0,13.0,11.0,123.0,20.0,28.0,25.0,88.0,0.0,0.0,23055.0,9.0,5.0,1.0,5.0,60.68,5.14,4.96,4.94,4.77,59.0,26.0,36.0,121.0,5.0,7.0,1.0,63.0,18.0,4.0,1.65,2.25,1.25,0.0,3.0,2.0,115.83,85.0,81.77,0.81,1.53,1.53,4.42,4.28,4.21,61.32,7.48,7.15,7.86,7.52,57.0,26.0,18.0,101.0,11.0,7.0,1.0,51.0,23.0,9.0,2.0,2.82,2.65,5.0,4.0,2.0,106.74,83.0,87.31,0.89,1.93,1.93,6.44,6.83,6.76,16.78,15.37,397.0,317.0,0.76,0.0,14.0,0.0,7.0,0.0,"912,500"
1032,8477507,2022,Nikita Zadorov,CGY,D,5on5,62,59294.0,1450.0,36.95,0.54,0.55,0.59,0.56,0.59,0.56,235.0,79.8,4.01,4.5,22.43,2.74,46.44,33.86,3.89,4.04,3.93,3.0,1.0,86.0,28.0,62.0,176.0,12.0,8.0,9.0,0.0,25.0,3.0,31.0,38.0,78.0,106.0,21.0,50.0,0.0,120.0,20.0,33.0,105.0,6.0,3.0,2.43,0.86,0.72,5.0,3.0,0.0,179.1,114.0,115.62,23.0,0.91,1.7,0.82,4.11,4.17,4.09,1450.0,139.0,108.0,189.0,1014.0,200.0,176.0,169.0,905.0,0.0,0.0,119668.0,50.0,38.0,16.0,46.0,597.18,44.35,42.99,44.86,43.48,603.0,221.0,294.0,1118.0,48.0,51.0,4.0,660.0,120.0,44.0,17.76,14.56,12.02,26.0,17.0,5.0,1127.73,824.0,829.93,7.47,9.05,9.05,42.76,43.24,42.72,412.6,37.94,36.7,37.98,36.73,401.0,165.0,200.0,766.0,39.0,36.0,7.0,401.0,129.0,36.0,12.24,16.09,9.61,17.0,15.0,7.0,762.85,566.0,565.67,5.71,6.72,6.84,36.81,36.7,36.29,96.04,78.85,2103.0,1645.0,5.32,0.23,113.0,10.0,88.0,7.0,"3,750,000"
1047,8477365,2022,Connor Clifton,BOS,D,5on5,60,58119.0,1257.0,20.65,0.53,0.54,0.49,0.51,0.49,0.53,209.0,74.07,3.99,4.47,18.74,2.32,42.3,31.17,3.87,4.08,3.96,3.0,6.0,71.0,32.0,26.0,129.0,13.0,4.0,3.0,1.0,20.0,8.0,33.0,35.0,67.0,99.0,16.0,44.0,0.0,150.0,14.0,38.0,89.0,12.0,2.0,2.19,1.36,0.44,1.0,2.0,1.0,132.69,103.0,106.06,25.0,0.91,0.68,0.65,4.26,4.34,4.21,1257.0,142.0,129.0,198.0,788.0,203.0,201.0,153.0,700.0,0.0,0.0,114566.0,44.0,36.0,12.0,82.0,484.08,42.93,41.99,43.63,42.68,478.0,178.0,228.0,884.0,46.0,30.0,7.0,463.0,157.0,36.0,14.43,19.14,9.36,20.0,17.0,9.0,913.58,656.0,674.7,6.79,6.1,5.91,43.81,44.48,43.96,488.43,38.31,37.22,37.74,36.65,491.0,182.0,247.0,920.0,28.0,32.0,2.0,510.0,135.0,28.0,14.83,15.94,7.55,14.0,10.0,4.0,896.42,673.0,661.34,6.67,6.03,6.18,38.74,38.18,37.59,95.13,79.48,1792.0,1698.0,3.88,0.16,80.0,9.0,63.0,6.0,"1,000,000"
1067,8473507,2022,Jeff Petry,PIT,D,5on5,45,47789.0,941.0,29.2,0.55,0.54,0.52,0.52,0.53,0.52,130.0,69.17,2.58,4.08,19.56,2.54,42.4,31.84,2.51,2.62,2.55,4.0,7.0,68.0,35.0,45.0,148.0,14.0,3.0,6.0,0.0,11.0,1.0,34.0,48.0,65.0,100.0,7.0,12.0,0.0,114.0,13.0,21.0,99.0,4.0,0.0,2.08,0.5,0.0,2.0,1.0,0.0,150.76,103.0,104.66,16.0,0.82,0.83,0.15,3.24,3.29,3.21,941.0,82.0,116.0,136.0,607.0,100.0,128.0,136.0,577.0,0.0,0.0,83818.0,12.0,4.0,2.0,59.0,450.82,39.72,38.23,40.39,38.86,449.0,177.0,204.0,830.0,38.0,45.0,4.0,459.0,125.0,42.0,12.74,15.93,11.05,17.0,17.0,4.0,843.99,626.0,634.81,6.24,8.49,8.49,37.48,37.99,37.25,395.56,33.06,31.73,33.18,31.83,416.0,134.0,203.0,753.0,33.0,27.0,3.0,419.0,104.0,27.0,12.91,12.51,7.65,12.0,14.0,7.0,745.46,550.0,546.01,5.42,5.63,6.16,32.33,32.3,31.65,75.55,65.54,1480.0,1340.0,4.81,0.7,71.0,8.0,57.0,6.0,"6,250,000"
1092,8474567,2022,Zach Bogosian,TBL,D,5on5,35,29524.0,585.0,7.81,0.49,0.54,0.51,0.53,0.5,0.53,170.0,36.44,1.68,2.17,10.13,1.2,22.9,15.92,1.66,1.67,1.65,3.0,0.0,39.0,15.0,34.0,88.0,4.0,1.0,4.0,0.0,4.0,0.0,22.0,23.0,38.0,53.0,8.0,16.0,1.0,95.0,1.0,17.0,49.0,4.0,1.0,1.0,0.44,0.24,1.0,0.0,0.0,89.24,54.0,54.16,10.0,0.43,0.97,0.13,1.98,1.97,1.95,585.0,43.0,45.0,96.0,401.0,82.0,103.0,73.0,327.0,1.0,0.0,74545.0,16.0,4.0,2.0,30.0,264.97,24.12,23.21,24.31,23.4,242.0,125.0,130.0,497.0,22.0,24.0,4.0,258.0,88.0,21.0,7.51,10.93,5.68,3.0,13.0,6.0,502.32,367.0,368.09,3.71,4.93,4.93,22.89,23.06,22.68,266.62,24.83,23.81,24.81,23.78,272.0,95.0,120.0,487.0,18.0,24.0,2.0,259.0,81.0,27.0,7.7,9.9,7.22,7.0,8.0,3.0,482.79,367.0,365.38,3.84,4.68,4.7,23.97,23.98,23.44,64.22,54.11,1207.0,1082.0,2.67,0.24,37.0,6.0,35.0,4.0,"850,000"
1097,8474563,2022,Drew Doughty,LAK,D,5on5,62,73576.0,1213.0,39.9,0.52,0.51,0.52,0.51,0.53,0.53,89.0,65.94,2.7,4.07,18.48,2.38,40.24,29.14,2.64,2.69,2.63,3.0,11.0,65.0,32.0,53.0,150.0,15.0,1.0,8.0,0.0,14.0,0.0,41.0,33.0,64.0,96.0,9.0,18.0,0.0,67.0,15.0,38.0,91.0,6.0,0.0,2.02,0.67,0.0,0.0,1.0,0.0,149.38,97.0,97.37,34.0,0.82,1.75,0.2,3.31,3.31,3.24,1213.0,120.0,156.0,283.0,654.0,135.0,146.0,194.0,738.0,0.0,0.0,105357.0,18.0,24.0,12.0,68.0,582.71,52.54,50.59,52.97,51.01,579.0,221.0,265.0,1065.0,46.0,55.0,7.0,582.0,168.0,50.0,17.74,20.76,14.05,15.0,20.0,11.0,1070.8,800.0,808.27,8.0,11.57,11.57,48.97,49.36,48.41,515.69,48.86,46.09,48.75,46.04,494.0,219.0,263.0,976.0,44.0,56.0,5.0,502.0,164.0,47.0,14.79,20.58,13.5,19.0,18.0,7.0,974.62,713.0,711.59,7.28,11.4,11.4,44.74,44.9,43.86,79.34,74.99,1774.0,1680.0,4.17,0.07,93.0,5.0,73.0,3.0,"11,000,000"
1127,8478970,2022,Jalen Chatfield,CAR,D,5on5,59,46310.0,1008.0,28.7,0.6,0.61,0.59,0.6,0.59,0.6,304.0,69.21,3.31,4.07,20.28,2.46,40.54,29.35,2.86,3.4,2.94,3.0,3.0,66.0,34.0,53.0,153.0,10.0,4.0,6.0,0.0,14.0,1.0,38.0,37.0,62.0,96.0,15.0,33.0,0.0,60.0,22.0,13.0,92.0,6.0,2.0,1.94,0.77,0.6,4.0,0.0,0.0,157.68,100.0,102.86,11.0,0.82,0.59,1.06,3.08,3.15,3.05,1008.0,123.0,90.0,175.0,620.0,159.0,124.0,106.0,619.0,0.0,0.0,125809.0,33.0,13.0,5.0,41.0,437.33,39.46,36.95,40.18,37.63,420.0,182.0,197.0,799.0,40.0,60.0,7.0,442.0,117.0,43.0,12.68,14.3,12.49,22.0,11.0,7.0,823.55,602.0,617.31,6.19,11.46,11.46,34.19,34.76,33.91,306.22,26.42,25.61,25.94,25.14,299.0,124.0,134.0,557.0,25.0,28.0,3.0,308.0,90.0,25.0,8.81,11.5,6.12,10.0,14.0,1.0,540.93,423.0,412.77,4.39,5.64,5.78,25.03,24.57,24.2,109.56,70.69,2352.0,1544.0,1.94,0.15,63.0,6.0,51.0,4.0,"762,500"
1187,8478500,2022,Ivan Provorov,PHI,D,5on5,62,69476.0,1458.0,20.25,0.45,0.47,0.47,0.47,0.48,0.49,110.0,83.47,4.17,5.06,22.6,2.74,51.49,36.94,4.11,4.09,4.04,4.0,7.0,83.0,40.0,51.0,174.0,15.0,4.0,2.0,0.0,25.0,2.0,30.0,60.0,79.0,119.0,6.0,12.0,0.0,67.0,12.0,50.0,114.0,6.0,3.0,2.69,0.58,0.89,2.0,0.0,2.0,171.64,123.0,121.45,45.0,1.02,0.73,0.31,4.87,4.8,4.74,1458.0,144.0,181.0,259.0,874.0,162.0,185.0,169.0,942.0,0.0,0.0,114520.0,12.0,12.0,6.0,91.0,533.57,46.07,44.66,45.97,44.58,533.0,205.0,275.0,1013.0,39.0,45.0,9.0,553.0,138.0,47.0,15.7,16.98,13.39,13.0,9.0,17.0,1004.81,738.0,733.27,7.34,10.33,10.3,43.12,43.0,42.4,583.42,55.58,53.52,55.85,53.79,582.0,225.0,331.0,1138.0,51.0,58.0,4.0,554.0,197.0,56.0,16.75,24.22,14.61,19.0,25.0,7.0,1148.87,807.0,812.82,8.52,11.05,11.05,53.04,53.4,52.33,74.73,85.25,1689.0,1897.0,3.99,0.38,107.0,8.0,79.0,8.0,"6,750,000"
1192,8480884,2022,Calen Addison,MIN,D,5on5,57,42285.0,883.0,23.92,0.48,0.51,0.51,0.51,0.51,0.51,309.0,48.57,1.53,2.82,13.08,1.57,30.62,22.38,1.52,1.51,1.49,1.0,2.0,50.0,22.0,30.0,102.0,6.0,3.0,0.0,0.0,14.0,5.0,29.0,21.0,47.0,69.0,10.0,20.0,0.0,15.0,8.0,17.0,69.0,3.0,0.0,1.14,0.39,0.0,3.0,0.0,0.0,102.19,72.0,71.91,11.0,0.55,0.0,0.02,2.07,2.04,2.02,883.0,90.0,51.0,101.0,641.0,99.0,156.0,111.0,517.0,0.0,0.0,124786.0,20.0,6.0,3.0,31.0,352.22,26.34,25.95,26.67,26.28,340.0,154.0,157.0,651.0,23.0,22.0,1.0,379.0,99.0,16.0,9.86,12.42,4.06,9.0,12.0,2.0,657.34,494.0,497.36,4.72,3.2,3.2,27.85,28.17,27.89,346.14,28.17,27.38,28.02,27.23,344.0,135.0,138.0,617.0,38.0,29.0,7.0,367.0,85.0,27.0,10.52,10.41,7.25,14.0,15.0,9.0,611.14,479.0,476.42,4.59,6.4,6.28,26.49,26.33,25.98,84.81,80.1,1940.0,1880.0,3.3,0.26,62.0,5.0,56.0,4.0,"795,000"
1197,8477971,2022,Andreas Englund,CHI,D,5on5,39,25513.0,605.0,6.2,0.54,0.5,0.52,0.5,0.5,0.49,221.0,30.57,1.01,1.61,9.13,1.03,18.3,12.91,0.99,1.05,1.03,2.0,1.0,26.0,18.0,15.0,59.0,3.0,0.0,1.0,0.0,9.0,2.0,15.0,17.0,26.0,44.0,7.0,26.0,0.0,105.0,7.0,6.0,42.0,1.0,1.0,0.71,0.08,0.22,0.0,0.0,0.0,60.04,44.0,44.68,4.0,0.32,0.02,0.11,1.22,1.26,1.24,605.0,11.0,58.0,85.0,451.0,95.0,81.0,66.0,363.0,0.0,0.0,91104.0,26.0,26.0,7.0,20.0,191.17,17.24,16.72,17.37,16.84,191.0,73.0,103.0,367.0,13.0,21.0,3.0,206.0,35.0,23.0,6.11,4.53,6.61,5.0,2.0,6.0,371.35,264.0,266.43,2.59,5.08,5.24,14.59,14.76,14.59,186.39,14.93,14.52,14.89,14.47,184.0,76.0,85.0,345.0,13.0,11.0,4.0,212.0,36.0,12.0,6.8,4.28,3.85,8.0,1.0,4.0,341.69,260.0,257.37,2.54,2.96,2.96,14.51,14.46,14.27,65.55,66.67,1486.0,1462.0,2.17,0.44,50.0,6.0,36.0,4.0,"750,000"
1252,8480803,2022,Evan Bouchard,EDM,D,5on5,62,54627.0,1050.0,35.98,0.59,0.52,0.57,0.5,0.56,0.49,242.0,88.46,3.02,5.09,23.58,2.82,54.63,41.86,2.95,3.01,2.94,4.0,8.0,97.0,34.0,100.0,231.0,14.0,2.0,4.0,0.0,24.0,1.0,32.0,68.0,95.0,129.0,10.0,20.0,0.0,69.0,46.0,54.0,127.0,4.0,0.0,2.61,0.41,0.0,2.0,0.0,0.0,234.08,131.0,131.94,40.0,1.0,0.46,0.05,3.98,3.97,3.89,1050.0,119.0,116.0,160.0,655.0,159.0,155.0,141.0,595.0,0.0,0.0,125406.0,20.0,12.0,6.0,53.0,515.8,48.76,45.94,49.18,46.39,524.0,185.0,270.0,979.0,41.0,47.0,4.0,502.0,156.0,51.0,15.17,19.31,14.28,16.0,18.0,7.0,997.94,709.0,717.9,7.33,10.83,10.83,45.25,45.78,44.45,409.71,33.68,32.9,33.68,32.89,407.0,158.0,176.0,741.0,44.0,35.0,10.0,428.0,111.0,26.0,12.8,13.22,7.66,13.0,19.0,12.0,736.85,565.0,561.21,5.35,6.57,6.57,32.46,32.44,32.07,94.13,87.93,1898.0,1924.0,4.26,0.17,79.0,7.0,62.0,4.0,"863,333"
1262,8479371,2022,Dante Fabbro,NSH,D,5on5,56,48329.0,1026.0,11.75,0.51,0.49,0.49,0.49,0.5,0.48,249.0,63.64,2.66,3.59,17.88,2.02,37.44,27.42,2.5,2.63,2.47,3.0,4.0,68.0,23.0,50.0,141.0,8.0,1.0,8.0,0.0,20.0,2.0,29.0,31.0,67.0,90.0,18.0,36.0,0.0,64.0,14.0,22.0,85.0,4.0,2.0,1.59,0.53,0.54,0.0,1.0,0.0,140.12,91.0,90.53,21.0,0.72,1.56,0.76,2.62,2.59,2.52,1026.0,79.0,87.0,177.0,683.0,165.0,154.0,105.0,602.0,0.0,0.0,113753.0,36.0,10.0,5.0,62.0,415.12,38.83,36.72,38.82,36.74,426.0,147.0,205.0,778.0,30.0,42.0,8.0,413.0,120.0,40.0,12.63,15.14,11.06,13.0,9.0,8.0,777.99,573.0,573.95,5.87,8.9,8.9,35.81,35.81,34.91,423.12,37.22,35.86,37.56,36.19,415.0,166.0,218.0,799.0,28.0,24.0,1.0,410.0,148.0,23.0,12.57,18.34,6.31,7.0,18.0,3.0,803.17,581.0,580.39,5.84,4.95,5.05,38.01,38.25,37.31,91.95,95.54,1789.0,1861.0,3.72,0.32,73.0,6.0,51.0,4.0,"2,400,000"
1282,8476853,2022,Morgan Rielly,TOR,D,5on5,47,49215.0,1005.0,33.15,0.54,0.54,0.52,0.51,0.52,0.52,117.0,65.42,3.52,3.96,18.47,2.29,38.39,27.38,3.31,3.57,3.35,10.0,4.0,70.0,24.0,40.0,134.0,15.0,1.0,5.0,0.0,25.0,0.0,29.0,34.0,69.0,93.0,3.0,9.0,0.0,46.0,16.0,39.0,85.0,6.0,3.0,1.89,0.78,0.84,0.0,1.0,0.0,135.1,94.0,94.75,26.0,0.81,0.81,1.17,3.15,3.16,3.04,1005.0,95.0,98.0,148.0,664.0,96.0,128.0,136.0,645.0,0.0,0.0,88759.0,9.0,9.0,2.0,42.0,443.28,41.58,40.07,41.9,40.37,431.0,175.0,205.0,811.0,36.0,36.0,3.0,431.0,135.0,40.0,13.51,17.53,10.54,16.0,15.0,5.0,820.08,606.0,612.98,6.47,6.67,6.67,41.37,41.6,40.77,401.31,35.93,34.61,36.1,34.77,393.0,158.0,199.0,750.0,34.0,39.0,4.0,389.0,131.0,31.0,11.46,15.89,8.58,15.0,10.0,9.0,744.88,551.0,549.15,5.77,7.0,7.35,34.35,34.47,33.78,71.86,62.08,1382.0,1306.0,4.38,0.0,87.0,2.0,68.0,0.0,"7,500,000"
1287,8470600,2022,Ryan Suter,DAL,D,5on5,62,62511.0,1216.0,20.85,0.51,0.53,0.52,0.51,0.5,0.51,184.0,71.15,2.7,4.03,20.42,2.46,42.97,31.43,2.62,2.71,2.63,4.0,4.0,64.0,40.0,58.0,162.0,9.0,1.0,4.0,0.0,14.0,1.0,49.0,35.0,63.0,103.0,11.0,22.0,0.0,58.0,17.0,27.0,98.0,4.0,2.0,1.69,0.52,0.49,1.0,0.0,0.0,164.61,104.0,105.07,19.0,0.8,0.78,0.79,2.7,2.71,2.66,1216.0,125.0,129.0,194.0,768.0,139.0,176.0,165.0,736.0,0.0,0.0,119532.0,22.0,8.0,4.0,71.0,536.64,47.07,44.85,47.99,45.73,533.0,211.0,310.0,1054.0,35.0,43.0,7.0,548.0,148.0,48.0,16.34,17.91,12.82,11.0,16.0,8.0,1074.17,744.0,754.41,7.39,9.23,9.68,44.79,45.52,44.47,527.04,44.77,43.53,44.48,43.23,517.0,216.0,236.0,969.0,40.0,50.0,7.0,551.0,141.0,41.0,15.65,17.42,11.7,13.0,20.0,7.0,958.06,733.0,726.9,7.21,9.87,9.87,42.11,41.69,41.14,86.9,78.22,1925.0,1845.0,4.2,0.22,83.0,17.0,65.0,14.0,"3,650,000"
1322,8478882,2022,Vladislav Gavrikov,LAK,D,5on5,53,55773.0,1139.0,4.18,0.44,0.44,0.46,0.46,0.47,0.45,136.0,51.24,4.05,3.26,12.78,1.74,29.37,21.8,3.89,4.01,3.84,3.0,2.0,48.0,25.0,28.0,101.0,6.0,1.0,9.0,1.0,15.0,2.0,27.0,19.0,47.0,72.0,12.0,24.0,0.0,47.0,14.0,11.0,57.0,11.0,5.0,1.35,1.36,1.34,0.0,1.0,0.0,97.29,73.0,70.87,9.0,0.67,1.33,1.28,3.45,3.36,3.3,1139.0,82.0,174.0,199.0,684.0,200.0,144.0,158.0,637.0,0.0,0.0,100567.0,24.0,4.0,2.0,56.0,452.91,37.27,36.19,36.7,35.62,442.0,180.0,194.0,816.0,30.0,36.0,3.0,463.0,129.0,30.0,13.75,15.44,8.09,13.0,15.0,2.0,796.61,622.0,608.81,6.12,6.34,6.34,37.06,36.37,35.86,514.15,46.67,44.65,47.74,45.68,521.0,189.0,260.0,970.0,46.0,60.0,9.0,508.0,156.0,46.0,14.27,18.81,13.59,13.0,24.0,9.0,999.3,710.0,728.62,7.17,12.82,12.92,40.93,41.9,40.98,63.3,80.8,1475.0,1738.0,3.02,0.24,70.0,8.0,52.0,6.0,"2,800,000"
1342,8480035,2022,Henri Jokiharju,BUF,D,5on5,38,41158.0,875.0,13.07,0.49,0.5,0.52,0.51,0.5,0.5,106.0,42.84,1.31,2.45,11.51,1.41,26.75,19.57,1.27,1.32,1.28,3.0,6.0,50.0,13.0,31.0,94.0,10.0,1.0,3.0,0.0,20.0,1.0,21.0,17.0,49.0,62.0,11.0,22.0,0.0,32.0,13.0,18.0,61.0,2.0,0.0,1.07,0.25,0.0,1.0,0.0,0.0,95.5,63.0,64.07,15.0,0.48,0.45,0.03,1.77,1.79,1.73,875.0,106.0,105.0,131.0,533.0,136.0,111.0,113.0,515.0,0.0,0.0,70375.0,22.0,4.0,2.0,33.0,360.22,32.52,31.14,32.92,31.52,353.0,135.0,158.0,646.0,35.0,38.0,4.0,341.0,120.0,27.0,10.66,14.62,7.24,12.0,18.0,5.0,650.51,488.0,493.05,5.05,6.93,6.93,30.64,30.97,30.37,354.96,34.52,33.22,34.93,33.59,376.0,108.0,114.0,598.0,36.0,40.0,8.0,327.0,128.0,29.0,10.25,15.87,8.41,12.0,19.0,5.0,603.55,484.0,486.71,5.0,7.92,7.98,31.54,31.99,31.38,53.58,54.08,1103.0,1060.0,3.73,0.08,77.0,6.0,52.0,5.0,"2,500,000"
1347,8480036,2022,Miro Heiskanen,DAL,D,5on5,59,69921.0,1304.0,55.05,0.53,0.52,0.54,0.5,0.53,0.49,86.0,111.1,4.93,6.27,32.74,3.79,65.46,44.81,4.71,4.9,4.7,6.0,9.0,112.0,46.0,80.0,238.0,19.0,4.0,19.0,0.0,20.0,6.0,44.0,65.0,108.0,154.0,11.0,22.0,0.0,36.0,27.0,38.0,143.0,14.0,1.0,2.98,1.58,0.37,4.0,0.0,0.0,240.79,158.0,159.0,25.0,1.27,4.25,1.17,5.03,5.03,4.91,1304.0,194.0,117.0,265.0,728.0,96.0,212.0,188.0,808.0,0.0,0.0,103757.0,22.0,12.0,6.0,62.0,609.51,53.06,50.83,53.85,51.6,593.0,256.0,344.0,1193.0,51.0,68.0,10.0,633.0,164.0,52.0,18.68,20.07,14.31,26.0,12.0,13.0,1210.79,849.0,859.76,8.42,12.94,12.94,48.54,49.2,48.22,553.12,47.59,46.36,47.47,46.23,551.0,216.0,262.0,1029.0,38.0,46.0,8.0,575.0,141.0,51.0,16.45,17.34,13.81,13.0,15.0,10.0,1022.09,767.0,763.0,7.48,10.34,10.34,44.73,44.45,43.99,75.3,69.56,1656.0,1664.0,4.73,0.33,90.0,13.0,69.0,11.0,"8,450,000"
1377,8477435,2022,Ryan Graves,NJD,D,5on5,57,57914.0,1194.0,32.07,0.51,0.57,0.51,0.54,0.52,0.55,181.0,91.7,3.67,5.01,24.84,3.01,54.37,41.1,3.57,3.74,3.65,4.0,7.0,102.0,30.0,72.0,204.0,17.0,6.0,5.0,0.0,26.0,3.0,49.0,43.0,96.0,126.0,8.0,16.0,0.0,67.0,13.0,32.0,126.0,5.0,1.0,2.93,0.53,0.21,4.0,1.0,1.0,207.09,132.0,133.61,30.0,1.0,1.09,0.09,4.58,4.67,4.54,1194.0,97.0,179.0,210.0,708.0,198.0,156.0,165.0,675.0,0.0,0.0,112022.0,16.0,6.0,3.0,92.0,509.44,43.24,41.36,43.8,41.91,521.0,175.0,263.0,959.0,54.0,47.0,3.0,524.0,138.0,34.0,16.38,17.36,9.5,26.0,23.0,5.0,974.65,696.0,706.82,6.79,9.16,9.01,41.03,41.58,40.57,464.02,42.12,40.39,41.87,40.15,440.0,205.0,260.0,905.0,31.0,46.0,7.0,462.0,148.0,35.0,14.21,17.85,10.07,15.0,8.0,8.0,894.45,645.0,638.36,6.33,9.1,9.1,39.36,38.99,38.13,92.84,70.54,1950.0,1642.0,5.36,0.14,93.0,6.0,77.0,5.0,"3,166,667"
